City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,seaside,36.6111,-121.8516,54.14,84,100,6.91,US,1701253522
148,lethem,3.3803,-59.7968,74.86,78,43,11.79,GY,1701253522
149,hami,42.8,93.45,41.5,24,0,6.93,CN,1701253523
150,cidreira,-30.1811,-50.2056,68.27,94,100,22.57,BR,1701253523
151,stephenville,32.2207,-98.2023,43.77,70,0,0.0,US,1701253236
152,vorgashor,67.5833,63.95,18.1,96,100,5.66,RU,1701253524
153,primero de mayo,-32.2552,-58.4228,73.81,87,77,8.34,AR,1701253525
154,yellowknife,62.456,-114.3525,16.41,95,100,4.61,CA,1701253525
155,tricase,39.9304,18.3553,62.53,63,20,9.22,IT,1701253526
156,pedernales,18.0384,-71.744,77.11,64,39,4.59,DO,1701253526
157,brewton,31.1052,-87.0722,38.34,92,0,4.97,US,1701253527
158,nyurba,63.2842,118.3319,10.96,94,100,8.72,RU,1701253527
159,lihue,21.9789,-159.3672,72.99,90,40,8.05,US,1701253528
160,kapa'a,22.0752,-159.319,73.72,92,40,8.05,US,1701253504
161,santa elena de uairen,4.6167,-61.1333,63.86,90,11,4.65,VE,1701253529
162,pangody,65.85,74.4859,18.32,95,100,10.42,RU,1701253530
163,darwin,-12.4611,130.8418,87.78,70,75,9.22,AU,1701253434
164,san pedro piedra gorda,22.45,-102.35,54.03,91,33,3.49,MX,1701253530
165,comodoro rivadavia,-45.8667,-67.5,58.86,38,0,13.8,AR,1701253531
166,mount gambier,-37.8333,140.7667,58.24,84,100,13.27,AU,1701253531
167,port elizabeth,-33.918,25.5701,72.32,62,40,9.22,ZA,1701253532
168,ballina,-28.8667,153.5667,74.79,93,29,13.73,AU,1701253533
169,magadan,59.5667,150.8,10.38,91,100,6.67,RU,1701253533
170,bereeda,11.8704,51.0579,80.91,68,93,12.53,SO,1701253534
171,kourou,5.1552,-52.6478,75.25,87,7,6.58,GF,1701253534
172,benguela,-12.5763,13.4055,78.44,85,100,5.75,AO,1701253534
173,jindabyne,-36.4167,148.6333,52.66,98,100,6.29,AU,1701253535
174,salekhard,66.53,66.6019,14.18,94,100,13.47,RU,1701253535
175,hobyo,5.3505,48.5268,84.49,59,17,21.65,SO,1701253536
176,shushenskoye,53.325,91.9356,8.91,84,24,1.83,RU,1701253536
177,karaton,-6.3424,106.1045,81.14,83,95,1.83,ID,1701253537
178,mar del plata,-38.0023,-57.5575,68.02,85,100,23.0,AR,1701253537
179,anadyr,64.75,177.4833,18.1,86,75,17.9,RU,1701253538
180,velingara,13.15,-14.1167,87.44,16,12,7.94,SN,1701253296
181,baikonur,45.6167,63.3167,42.94,44,62,20.13,KZ,1701253539
182,cabo san lucas,22.8909,-109.9124,73.51,90,1,9.42,MX,1701253261
